name,role,type,demographic,description,units,missing_values
FILENAME,Other,Categorical,,,,no
URL,Feature,Categorical,,,,no
URLLength,Feature,Integer,,,,no
Domain,Feature,Categorical,,,,no
DomainLength,Feature,Integer,,,,no
IsDomainIP,Feature,Integer,,,,no
TLD,Feature,Categorical,,,,no
URLSimilarityIndex,Feature,Integer,,,,no
CharContinuationRate,Feature,Integer,,,,no
TLDLegitimateProb,Feature,Continuous,,,,no
URLCharProb,Feature,Continuous,,,,no
TLDLength,Feature,Integer,,,,no
NoOfSubDomain,Feature,Integer,,,,no
HasObfuscation,Feature,Integer,,,,no
NoOfObfuscatedChar,Feature,Integer,,,,no
ObfuscationRatio,Feature,Integer,,,,no
NoOfLettersInURL,Feature,Integer,,,,no
LetterRatioInURL,Feature,Continuous,,,,no
NoOfDegitsInURL,Feature,Integer,,,,no
DegitRatioInURL,Feature,Integer,,,,no
NoOfEqualsInURL,Feature,Integer,,,,no
NoOfQMarkInURL,Feature,Integer,,,,no
NoOfAmpersandInURL,Feature,Integer,,,,no
NoOfOtherSpecialCharsInURL,Feature,Integer,,,,no
SpacialCharRatioInURL,Feature,Continuous,,,,no
IsHTTPS,Feature,Integer,,,,no
LineOfCode,Feature,Integer,,,,no
LargestLineLength,Feature,Integer,,,,no
HasTitle,Feature,Integer,,,,no
Title,Feature,Categorical,,,,no
DomainTitleMatchScore,Feature,Integer,,,,no
URLTitleMatchScore,Feature,Integer,,,,no
HasFavicon,Feature,Integer,,,,no
Robots,Feature,Integer,,,,no
IsResponsive,Feature,Integer,,,,no
NoOfURLRedirect,Feature,Integer,,,,no
NoOfSelfRedirect,Feature,Integer,,,,no
HasDescription,Feature,Integer,,,,no
NoOfPopup,Feature,Integer,,,,no
NoOfiFrame,Feature,Integer,,,,no
HasExternalFormSubmit,Feature,Integer,,,,no
HasSocialNet,Feature,Integer,,,,no
HasSubmitButton,Feature,Integer,,,,no
HasHiddenFields,Feature,Integer,,,,no
HasPasswordField,Feature,Integer,,,,no
Bank,Feature,Integer,,,,no
Pay,Feature,Integer,,,,no
Crypto,Feature,Integer,,,,no
HasCopyrightInfo,Feature,Integer,,,,no
NoOfImage,Feature,Integer,,,,no
NoOfCSS,Feature,Integer,,,,no
NoOfJS,Feature,Integer,,,,no
NoOfSelfRef,Feature,Integer,,,,no
NoOfEmptyRef,Feature,Integer,,,,no
NoOfExternalRef,Feature,Integer,,,,no
label,Target,Integer,,,,no
